BookID,author,bookName,number,PreferentialPrice,press,price
11244689,克利斯提昂·约里波瓦,不一样的卡梅拉手绘版·第一季（套装12册）, 20 ,100.80,二十一世纪出版社,120.00
11982526,恐龙小Q儿童创想中心,做内心强大的自己 自信力培养系列（套装共8册）, 21 ,49.50,五洲传播出版社,88.00
12194254,洋洋兔,我们的中国——写给孩子的中国地理 手绘版, 22 ,26.10,北京理工大学出版社,38.00
11297867,沈从文,边城（纪念典藏版）, 23 ,21.90,武汉出版社,35.00
10033622,亚历山大,朗文·外研社·新概念英语3（培养技能）（新版） , 24 ,22.80,外语教学与研究出版社,28.90
12241226,克莱儿·麦克福尔,摆渡人2重返荒原, 25 ,29.50,百花洲文艺出版社,42.80
11835389,果麦,给孩子读诗, 26 ,51.00,浙江文艺出版社,68.00
11582083,蔡崇达,皮囊, 27 ,29.90,天津人民出版社,39.80
11584281,弗格斯·奥康奈尔,极简主义：风靡欧美的工作与生活理念, 28 ,27.60,人民邮电出版社,35.00
11967827,佐佐木圭一,所谓情商高，就是会说话, 29 ,22.00,北京联合出版公司,32.00
11987633,中国社会科学院语言研究所词典编辑室,现代汉语词典（第7版） , 30 ,76.30,商务印书馆,109.00
11760981,白岩松,白说（京东版）, 31 ,27.40,长江文艺出版社,39.80
10076998,斯塔夫里阿诺斯,全球通史 从史前史到21世纪（ 第7版 修订版 中文版 套装上下册）（赠送精美地 ..., 32 ,72.00,北京大学出版社,96.00
11801688,马歇尔·卢森堡,非暴力沟通, 33 ,25.60,华夏出版社,33.00
10014239,艾瑞·卡尔,信谊绘本世界精选图画书：好饿的毛毛虫, 34 ,37.00,明天出版社,39.80
11289555,玛格丽特·怀兹·布朗,信谊绘本世界精选图画书：逃家小兔, 35 ,24.90,明天出版社,26.80
11018526,马克·李维,偷影子的人（随书附精美卡片）, 36 ,20.50,湖南文艺出版社,29.80
19469079,Usborne Publishing,My First Reading Library  我的第一个图书馆套装，共50 ..., 37 ,285.80,Usborne Publishing,420.40
12215023,肖秀荣,肖秀荣2018考研政治命题人形势与政策以及当代世界经济与政治 , 38 ,16.00,北京航空航天大学出版社,22.00
11792121,赫伯特·乔治·威尔斯,世界简史(京东定制）, 39 ,24.90,民主与建设出版社,39.80
11757834,刘慈欣,中国科幻基石丛书·三体（套装1-3册）, 40 ,62.80,重庆出版社,93.00
11892161,肯·福莱特,巨人的陨落（套装全3册）【荐书联盟推荐】【首届京东文学奖-年度国际作家入围作品】 ..., 41 ,90.90,江苏凤凰文艺出版社,129.80
11955442,林语堂,苏东坡传（纪念典藏版）, 42 ,19.30,湖南文艺出版社,28.00
10884795,太宰治,人间失格, 43 ,15.60,武汉出版社,25.00
12053830,宫西达也,蒲蒲兰绘本馆：宫西达也恐龙系列平装套装（全7册）, 44 ,123.50,二十一世纪出版社,126.00
11755268,迪士尼,迪士尼宝宝故事会（共40册）, 45 ,87.50,人民邮电出版社,100.00
11969879,罗伯特·B.西奥迪尼,影响力（经典版）（新版）, 46 ,36.60,北京联合出版公司,54.90
11258981,山下英子,断舍离, 47 ,22.80,广西科学技术出版社,32.00
11980917,洋洋兔,中国：手绘中国地理地图（精装手绘儿童版）, 48 ,67.40,北京理工大学出版社,98.00
11947024,埃尔芬斯通·戴罗尔,凯迪克银奖绘本：太阳和月亮为什么住在天上（奇想国童书）, 49 ,22.00,浙江少年儿童出版社,32.00
10014289,杰兹·阿波罗,信谊绘本世界精选图画书：抱抱, 50 ,28.60,明天出版社,30.80
11880708,晚情,做一个刚刚好的女子：不攀附，不将就, 51 ,22.80,青岛出版社,35.00
12000663,罗自国,幼儿睡前故事绘本(全套60册) 0-3-6岁童话书儿童启蒙认知早教, 52 ,60.00,文化发展出版社,120.00
11900121,采铜,精进：如何成为一个很厉害的人, 53 ,26.10,江苏凤凰文艺出版社,38.00
11521816,唐磊,新版中日交流标准日本语初级（第二版 套装上下册 附光盘）, 54 ,63.40,人民教育出版社,78.00
10386191,张乐平,三毛漫画典藏版 （彩图注音版套装共四册，包含三毛流浪记、从军记、解放记、新生记） ..., 55 ,79.80,少年儿童出版社,95.00
12093434,弗兰克.赫伯特,沙丘, 56 ,49.30,江苏凤凰文艺出版社,68.00
11286076,林特特,以自己喜欢的方式过一生, 57 ,21.30,江苏文艺出版社,32.80
11260573,北京小红花图书工作室,邦臣小红花·我的第一套启蒙认知贴纸书（2-5岁 套装全8册）, 58 ,33.60,中国人口出版社,56.00
12203877,肖秀荣,肖秀荣2018考研政治命题人考点预测（背诵版） , 59 ,18.10,北京航空航天大学出版社,25.00
11393289,邱昭瑜,有故事的汉字（套装全3册）, 60 ,57.80,青岛出版社,84.00
11650312,雷欧幻像,查理九世21-24 进级版（套装共4册）, 61 ,41.30,浙江少年儿童出版社,60.00
11820980,石黑一雄,被掩埋的巨人/2017年诺贝尔文学奖获得者石黑一雄作品, 62 ,30.70,上海译文出版社,39.00
10054498,黄仁宇,万历十五年（增订本） , 63 ,13.50,中华书局,18.00
11058110,山本直英,蒲蒲兰绘本馆·儿童性教育绘本系列：小鸡鸡的故事, 64 ,29.20,连环画出版社,29.80
11242172,克利斯提昂·约里波瓦,不一样的卡梅拉动漫版·第二季（套装12册）, 65 ,100.80,二十一世纪出版社,120.00
11258976,卡勒德·胡赛尼,追风筝的人, 66 ,17.70,上海人民出版社,29.00
11561445,布莱恩·弗洛卡,北斗童书·凯迪克金奖绘本-火车头, 67 ,34.10,福建少儿出版社,39.00
12093747,余华,活着（25周年精装典藏纪念版）, 68 ,26.30,北京十月文艺出版社,35.00
12076009,肯·福莱特,肯·福莱特世纪三部曲： 巨人的陨落+世界的凛冬+永恒的边缘（全球读者平均3个通宵 ..., 69 ,311.60,江苏凤凰文艺出版社,429.80
10033623,亚历山大,朗文·外研社·新概念英语4（新版） , 70 ,23.60,外语教学与研究出版社,29.90
12153992,二混子,半小时漫画中国史, 71 ,37.90,江苏凤凰文艺出版社,39.90
10012034,张乐平,三毛流浪记全集（彩图注音读物）, 72 ,25.20,少年儿童出版社,30.00
11891503,约翰·C·麦克斯维尔,领导力21法则：追随这些法则，人们就会追随你, 73 ,32.60,文汇出版社,45.00
12169266,李开复,人工智能（李开复谈AI如何重塑个人、商业与社会的未来图谱）, 74 ,39.20,文化发展出版社（原印刷工业出版社）,55.00
11569295,史蒂芬·柯维,高效能人士的七个习惯（25周年纪念版）, 75 ,42.50,中国青年出版社,68.00
12125770,老舍,老舍先生经典作品精选集：我这一辈子（纪念珍藏版）, 76 ,22.00,长江文艺出版社,32.00
11965171,景天,别在吃苦的年纪选择安逸, 77 ,17.70,江西教育出版社,35.00
11892851,间濑直方,开车出发系列绘本 第一辑（套装共7册）, 78 ,105.80,二十一世纪出版社集团,126.00
10560820,佐佐木洋子,蒲蒲兰绘本馆：小熊宝宝绘本（套装共15册）, 79 ,73.50,连环画出版社,75.00
11248825,菲比·吉尔曼,信谊绘本世界精选图画书：爷爷一定有办法, 80 ,30.50,明天出版社,32.80
11988344,卡耐基,卡耐基经典四部曲（套装共4册）, 81 ,102.90,吉林文史出版社,140.00
12240382,伊藤穰一,爆裂（两种封面随机发货）, 82 ,43.30,中信出版集团,65.00
10955400,任溶溶,中国幽默儿童文学创作·任溶溶系列：没头脑和不高兴（注音版）, 83 ,8.30,浙江出版联合集团，浙江少年儿童出版社,12.00
11017970,凯利·麦格尼格尔,自控力, 84 ,28.40,文化发展出版社,39.80
11143993,安托万·德·圣埃克苏佩里,小王子（法国“圣埃克苏佩里基金会”官方认可简体中文译本）, 85 ,22.00,天津人民出版社,32.00
12062229,剑圣喵大师,优秀的人，从来不会输给情绪, 86 ,23.00,古吴轩出版社,36.80
12122490,海明威,老人与海（全本无删节精装插图版）【作家榜推荐】, 87 ,29.90,浙江文艺出版社,39.80
12072066,吴晓波,腾讯传（1998-2016）, 88 ,43.50,浙江大学出版社,58.00
11753735,刘嘉路,金羽毛·世界获奖绘本 十二生肖谁第一, 89 ,20.50,海燕出版社,29.80
12214768,当年明月,明朝那些事儿增补版（新版套装 全套共9册）, 90 ,211.60,北京联合出版公司,297.00
11689112,木头人儿童创想中心,亲子情商教育系列：培养孩子强大内心（套装全6册）, 91 ,48.90,中国人口出版社,87.00
11096744,杨绛,我们仨/杨绛作品, 92 ,16.10,生活·读书·新知三联书店,23.00
11338771,张嘉佳,从你的全世界路过, 93 ,23.40,湖南文艺出版社,36.00
11579219,杨红樱,杨红樱笑猫日记（新套装共20册）, 94 ,249.90,明天出版社,300.00
12081245,梅丽·麦金农,英语单词大书, 95 ,58.50,北京联合出版公司,78.00
11690501,居斯塔夫·勒庞,乌合之众：群体心理研究（法文直译经典版）, 96 ,27.80,浙江文艺出版社,39.00
12119950,贾平凹,贾平凹作品：游戏人间, 97 ,28.90,百花洲文艺出版社,42.00
11853618,毛姆,月亮和六便士（毛姆代表作，月亮与六便士导读注释版）, 98 ,34.20,天津人民出版社,48.00
11930320,英国快乐瓢虫出版公司,小猪佩奇动画故事书（第2辑）（10册套装）, 99 ,82.50,安徽少年儿童出版社,120.00
11346440,北京海润阳光文化中心,海润阳光·幼儿学前专注力训练100图（套装共4册）, 100 ,25.60,北京理工大学出版社,51.20
BookID,author,bookName,number,PreferentialPrice,press,price
11258976,卡勒德·胡赛尼,追风筝的人, 01 ,17.70,上海人民出版社,29.00
12279202,洋洋兔,洋洋兔童书·我们的节日：画给孩子的中国传统节日, 02 ,26.20,群言出版社,38.00
12257413,瑞·达利欧,原则, 03 ,66.40,中信出版集团，中信出版社,98.00
12250359,埃·奥·卜劳恩,父与子全集（套装共10册）, 04 ,67.50,中国和平出版社,120.00
11296756,山姆·麦克布雷尼,信谊绘本世界精选图画书：猜猜我有多爱你, 05 ,35.10,明天出版社,35.80
11825528,高铭,天才在左疯子在右完整版　[荐书联盟推荐], 06 ,18.90,北京联合出版公司,39.80
11757204,沈复,浮生六记（汪涵推荐，全译本）, 07 ,22.80,天津人民出版社,32.00
12274700,周金涛,涛动周期论 经济周期决定人生财富命运, 08 ,72.20,机械工业出版社,99.00
11452840,东野圭吾,解忧杂货店, 09 ,27.30,南海出版公司,39.50
11270239,袁腾飞,这个历史挺靠谱 袁腾飞讲历史（套装全3册 附光盘）, 10 ,68.10,湖南人民出版社,99.00
12031450,老舍,骆驼祥子+海底两万里（人教版教材 7年级下册推荐阅读必读名著 套装共2册）, 11 ,16.10,商务印书馆,30.60
11946516,傅雷,傅雷家书（新课标本）, 12 ,23.80,译林出版社,29.80
11677201,老舍,骆驼祥子 语文新课标必读丛书 教育部推荐中小学生必读名著, 13 ,9.30,北京师范大学出版社,16.80
12244778,浥轻尘,时光本草日历2018（附赠冰箱贴）, 14 ,59.90,中国轻工业出版社,98.00
11582083,蔡崇达,皮囊, 15 ,26.70,天津人民出版社,39.80
11501914,E·B·怀特,夏洛的网（新） , 16 ,16.50,上海译文出版社,26.00
11977252,思睿,唐诗三百首（儿童注音美绘本）, 17 ,17.50,北方妇女儿童出版社,40.00
11712392,尼克·柯雷恩,北斗童书·世界地图：跟爸爸一起去旅行（百科知识版）大开本、精装绘本, 18 ,50.80,成都地图出版社,58.00
11757834,刘慈欣,中国科幻基石丛书·三体（套装1-3册）, 19 ,64.20,重庆出版社,93.00
10281763,儒勒·凡尔纳,海底两万里/中小学生必读丛书-教育部推荐新课标同步课外阅读, 20 ,16.50,吉林出版集团有限责任公司,22.00
11781267,安东尼·德·圣-埃克苏佩里,小王子（纯美珍藏绘本）, 21 ,34.20,中央广播电视大学出版社,45.00
11678007,加·泽文,岛上书店　【荐书联盟推荐】, 22 ,24.50,江苏凤凰文艺出版社,35.00
10385124,黑柳彻子,窗边的小豆豆（新版）, 23 ,18.80,南海出版公司,25.00
11244689,克利斯提昂·约里波瓦,不一样的卡梅拉手绘版·第一季（套装12册）, 24 ,103.20,二十一世纪出版社,120.00
12212413,墨点字帖,墨点字帖2018年大礼包对联新年春联 红包窗花福字门贴, 25 ,30.00,武汉市新新图书有限公司,48.00
10162330,罗广斌,红岩 , 26 ,17.70,中国青年出版社,26.00
12102866,尤瓦尔·赫拉利,尤瓦尔·赫拉利作品 人类简史+未来简史（套装共2册）, 27 ,81.60,中信出版集团,136.00
11480060,安东尼.布朗,启发绘本：我爸爸+我妈妈（套装全2册）, 28 ,64.40,河北教育出版社,71.60
12111106,毛姆,月亮与六便士（2017新版！未删节插图珍藏本）（作家榜经典）, 29 ,23.90,浙江文艺出版社,39.80
12090377,路遥,平凡的世界：全三册, 30 ,81.00,北京十月文艺出版社,108.00
11977623,拉尔夫·布奇科,北斗童书·德国经典专注力亲子游戏书 第一辑（套装共3册）, 31 ,51.00,文化发展出版社,60.00
11687858,克莱儿·麦克福尔,摆渡人　【荐书联盟推荐】, 32 ,23.40,百花洲文艺出版社,36.00
11289555,玛格丽特·怀兹·布朗,信谊绘本世界精选图画书：逃家小兔, 33 ,26.30,明天出版社,26.80
10281704,尼·奥斯特洛夫斯基,钢铁是怎样炼成的/中小学生必读丛书-教育部推荐新课标同步课外阅读, 34 ,16.50,陕西师范大学出版社,22.00
11234792,孙幼军,小猪唏哩呼噜（注音版 套装共2册） , 35 ,18.50,春风文艺出版社,30.00
12214612,罗尔德·达尔,罗尔德·达尔作品典藏·了不起的狐狸爸爸, 36 ,13.50,明天出版社,15.00
12144001,董卿,朗读者（青少版人民文学出版社）, 37 ,30.80,人民文学出版社,39.00
12135337,东野圭吾,白夜行（2017版）, 38 ,41.80,南海出版公司,59.60
11902279,阿什利·万斯,硅谷钢铁侠：埃隆·马斯克的冒险人生, 39 ,43.00,中信出版社，中信出版集团,68.00
12045155,莳田晋至,在教室说错了没关系, 40 ,30.60,青岛出版社,36.00
11260573,北京小红花图书工作室,邦臣小红花·我的第一套启蒙认知贴纸书（2-5岁 套装全8册）, 41 ,49.30,中国人口出版社,56.00
10014239,艾瑞·卡尔,信谊绘本世界精选图画书：好饿的毛毛虫, 42 ,39.00,明天出版社,39.80
12026441,阿尔弗雷德.阿德勒,自卑与超越（完整全译本）, 43 ,27.40,中国友谊出版公司,39.80
10086823,阿斯特丽德·林格伦,新版林格伦作品选集 美绘版-长袜子皮皮, 44 ,15.50,中国少年儿童出版社,18.00
11835389,果麦,给孩子读诗, 45 ,57.80,浙江文艺出版社,68.00
11391416,龙应台,目送（插图新版） , 46 ,25.80,广西师范大学出版社,43.00
12242054,贾民勇,中医五脏养生礼盒套装（五脏养生图书套装全5册+爱一心双孔艾灸盒1个+5年陈艾条1 ..., 47 ,156.80,青岛出版社,228.00
11978250,木头人儿童创想中心,我在幼儿园：情商培养系列（套装共8册）, 48 ,49.50,中国人口出版社,88.00
11911791,曹文轩,曹文轩纯美小说：草房子（2016版）, 49 ,17.30,江苏凤凰少年儿童出版社,22.00
11096744,杨绛,我们仨/杨绛作品, 50 ,16.10,生活·读书·新知三联书店,23.00
12000663,罗自国,幼儿睡前故事绘本(全套60册) 0-3-6岁童话书儿童启蒙认知早教, 51 ,60.00,文化发展出版社,120.00
12061335,北斗儿童地理,北斗童书·中国地图：跟爸爸一起去旅行（百科知识版）大开本、精装绘本, 52 ,57.80,山东省地图出版社,68.00
11759606,艾萨克·阿西莫夫,银河帝国：基地（新版）, 53 ,24.20,江苏凤凰文艺出版社,35.00
12244218,田英章,田英章楷书练字帖:入门+唐诗宋词+论语道德经孙子兵法+古文观止纳兰词三字经+文选 ..., 54 ,44.20,上海交通大学出版社,68.00
11681668,安徒生,安徒生童话+格林童话+伊索寓言+一千零一夜（彩图注音版）（套装全4册）, 55 ,37.50,北京教育出版社,60.00
12294048,蜘蛛,十宗罪6, 56 ,31.10,中华工商联合出版社,45.00
11258981,山下英子,断舍离, 57 ,19.20,广西科学技术出版社,32.00
12125924,【以色列】尤瓦尔·赫拉利,人类简史：从动物到上帝（新版） , 58 ,40.80,中信出版社，中信出版集团,68.00
11640774,罗尔德·达尔,罗尔德·达尔作品典藏（套装共13册）, 59 ,170.00,明天出版社,200.00
12059598,儒尔·凡尔纳,海底两万里/经典译林 , 60 ,20.50,译林出版社,26.00
12159992,美国尼克儿童频道,汪汪队立大功儿童安全救援故事书（套装共10册）, 61 ,97.30,天地出版社,128.00
11477628,大卫·香农,凯迪克银奖绘本：大卫，不可以, 62 ,30.40,河北教育出版社,33.80
11908015,曹文轩,曹文轩纯美小说：青铜葵花（2016版）, 63 ,17.40,江苏凤凰少年儿童出版社,22.00
11982526,恐龙小Q儿童创想中心,做内心强大的自己 自信力培养系列（套装共8册）, 64 ,49.50,五洲传播出版社,88.00
11892851,间濑直方,开车出发系列绘本 第一辑（套装共7册）, 65 ,108.40,二十一世纪出版社集团,126.00
12122490,海明威,老人与海（全本无删节精装插图版）【作家榜推荐】, 66 ,29.90,浙江文艺出版社,39.80
11941728,贾平凹,自在独行：贾平凹的独行世界（陈坤推荐）, 67 ,26.80,长江文艺出版社,39.00
11049635,钱锺书,围城 , 68 ,24.20,人民文学出版社,39.00
10033620,亚历山大,朗文·外研社·新概念英语1：英语初阶（新版） , 69 ,22.40,外语教学与研究出版社,29.90
11248825,菲比·吉尔曼,信谊绘本世界精选图画书：爷爷一定有办法, 70 ,32.10,明天出版社,32.80
12152479,曾锴,愿你历尽千帆，归来仍是少年, 71 ,25.40,光明日报出版社,36.80
11938782,夏洛特·佐罗托,凯迪克银奖绘本：暴风雨中的孩子（奇想国童书）, 72 ,22.60,浙江少年儿童出版社,32.80
12309468,中共中央宣传部理论局,新时代面对面/理论热点面对面2018, 73 ,15.90,学习出版社,21.00
12215545,吴晓波,吴晓波企业史 激荡十年，水大鱼大, 74 ,34.80,中信出版集团，中信出版社,58.00
12092518,余光中,孤独是生命的礼物, 75 ,25.20,长江文艺出版社,36.00
10016200,沈石溪,动物小说大王沈石溪品藏书系：狼王梦, 76 ,10.50,浙江少年儿童出版社,18.00
11801688,马歇尔·卢森堡,非暴力沟通, 77 ,21.54,华夏出版社,33.00
11008576,老舍,骆驼祥子（人民文学出版社）语文新课标必读丛书 教育部推荐中小学生必读名著, 78 ,11.30,人民文学出版社,15.00
11018526,马克·李维,偷影子的人（随书附精美卡片）, 79 ,20.50,湖南文艺出版社,29.80
12239650,余华,余华作品：活着, 80 ,16.80,作家出版社,28.00
11678676,木头人儿童创想中心,写给孩子的趣味图解 中华上下五千年（套装1-4册）, 81 ,51.80,煤炭工业出版社,92.00
11479230,芭芭拉·库尼,启发绘本：花婆婆, 82 ,29.50,河北教育出版社,32.80
12095711,傅雷;朱梅馥;傅聪,傅雷家书（学生读本）, 83 ,23.80,译林出版社,29.80
12158696,沈复,浮生六记（汪涵推荐，作家榜出品未删节插图珍藏版）, 84 ,33.80,浙江文艺出版社,45.00
12161302,严歌苓,芳华, 85 ,27.30,人民文学出版社,39.00
12053830,宫西达也,蒲蒲兰绘本馆：宫西达也恐龙系列平装套装（全7册）, 86 ,123.50,二十一世纪出版社,126.00
11199528,金宇澄,繁花（全本珍藏版）, 87 ,28.50,上海文艺出版社,48.00
11879584,田英章,华夏万卷 田英章硬笔书法楷书入门字帖:教程+3500字+千古名句(套装共5册 附 ..., 88 ,34.50,上海交通大学出版社,69.00
10212459,亨利·法布尔,昆虫记/中小学生必读丛书-教育部推荐新课标同步课外阅读, 89 ,16.50,吉林出版集团有限责任公司,22.00
11569295,史蒂芬·柯维,高效能人士的七个习惯（25周年纪念版）, 90 ,39.00,中国青年出版社,68.00
11984135,东野圭吾,恶意（2016版） , 91 ,27.30,南海出版公司,39.50
12159459,亨利·戴维·梭罗,瓦尔登湖（2017未删节全新珍藏版，梭罗200周年诞辰纪念插图本）作家榜出品, 92 ,41.20,湖南人民出版社,59.90
10012034,张乐平,三毛流浪记全集（彩图注音读物）, 93 ,25.80,少年儿童出版社,30.00
11689112,木头人儿童创想中心,亲子情商教育系列：培养孩子强大内心（套装全6册）, 94 ,48.90,中国人口出版社,87.00
12194254,洋洋兔,我们的中国——写给孩子的中国地理 手绘版, 95 ,26.10,北京理工大学出版社,38.00
11909374,帕斯卡尔·艾德兰,学前儿童生理启蒙必备：我们的身体（3-6岁）, 96 ,148.80,未来出版社,155.00
11143993,安托万·德·圣埃克苏佩里,小王子（法国“圣埃克苏佩里基金会”官方认可简体中文译本）, 97 ,22.80,天津人民出版社,32.00
12272335,邱国鹭,投资中不简单的事, 98 ,48.20,四川人民出版社,69.90
12014042,阿尔文德·纳拉亚南,区块链 技术驱动金融：数字货币与智能合约技术, 99 ,62.40,中信出版社，中信出版集团,79.00
11242172,克利斯提昂·约里波瓦,不一样的卡梅拉动漫版·第二季（套装12册）, 100 ,103.20,二十一世纪出版社,120.00
